,date,Country/Region,Confirmed,Deaths
221,2020-02-18,"Korea, South",0.0,0.0
220,2020-02-18,China,0.0,0.0
219,2020-02-18,Italy,3.0,0.0
218,2020-02-18,South Korea,31.0,0.0
217,2020-02-18,Mainland China,74139.0,2002.0
216,2020-02-18,US,15.0,0.0
215,2020-02-17,Total,72412.0,1863.0
214,2020-02-17,Republic of Korea,0.0,0.0
213,2020-02-17,"Korea, South",0.0,0.0
212,2020-02-17,China,0.0,0.0
211,2020-02-17,Italy,3.0,0.0
210,2020-02-17,South Korea,30.0,0.0
209,2020-02-17,Mainland China,72364.0,1863.0
208,2020-02-17,US,15.0,0.0
207,2020-02-16,Total,70493.0,1765.0
206,2020-02-16,Republic of Korea,0.0,0.0
205,2020-02-16,"Korea, South",0.0,0.0
204,2020-02-16,China,0.0,0.0
203,2020-02-16,Italy,3.0,0.0
202,2020-02-16,South Korea,29.0,0.0
201,2020-02-16,Mainland China,70446.0,1765.0
200,2020-02-16,US,15.0,0.0
199,2020-02-15,Total,68393.0,1662.0
198,2020-02-15,Republic of Korea,0.0,0.0
197,2020-02-15,"Korea, South",0.0,0.0
196,2020-02-15,China,0.0,0.0
195,2020-02-15,Italy,3.0,0.0
194,2020-02-15,South Korea,28.0,0.0
193,2020-02-15,Mainland China,68347.0,1662.0
192,2020-02-15,US,15.0,0.0
191,2020-02-14,Total,66338.0,1520.0
190,2020-02-14,Republic of Korea,0.0,0.0
189,2020-02-14,"Korea, South",0.0,0.0
188,2020-02-14,China,0.0,0.0
187,2020-02-14,Italy,3.0,0.0
186,2020-02-14,South Korea,28.0,0.0
185,2020-02-14,Mainland China,66292.0,1520.0
184,2020-02-14,US,15.0,0.0
183,2020-02-13,Total,59878.0,1368.0
182,2020-02-13,Republic of Korea,0.0,0.0
181,2020-02-13,"Korea, South",0.0,0.0
180,2020-02-13,China,0.0,0.0
179,2020-02-13,Italy,3.0,0.0
178,2020-02-13,South Korea,28.0,0.0
177,2020-02-13,Mainland China,59832.0,1368.0
176,2020-02-13,US,15.0,0.0
175,2020-02-12,Total,44743.0,1116.0
174,2020-02-12,Republic of Korea,0.0,0.0
173,2020-02-12,"Korea, South",0.0,0.0
172,2020-02-12,China,0.0,0.0
171,2020-02-12,Italy,3.0,0.0
170,2020-02-12,South Korea,28.0,0.0
169,2020-02-12,Mainland China,44699.0,1116.0
168,2020-02-12,US,13.0,0.0
167,2020-02-11,Total,44371.0,1111.0
166,2020-02-11,Republic of Korea,0.0,0.0
165,2020-02-11,"Korea, South",0.0,0.0
164,2020-02-11,China,0.0,0.0
163,2020-02-11,Italy,3.0,0.0
162,2020-02-11,South Korea,28.0,0.0
161,2020-02-11,Mainland China,44327.0,1111.0
160,2020-02-11,US,13.0,0.0
159,2020-02-10,Total,42348.0,1011.0
158,2020-02-10,Republic of Korea,0.0,0.0
157,2020-02-10,"Korea, South",0.0,0.0
156,2020-02-10,China,0.0,0.0
155,2020-02-10,Italy,3.0,0.0
154,2020-02-10,South Korea,27.0,0.0
153,2020-02-10,Mainland China,42306.0,1011.0
152,2020-02-10,US,12.0,0.0
151,2020-02-09,Total,39830.0,904.0
150,2020-02-09,Republic of Korea,0.0,0.0
149,2020-02-09,"Korea, South",0.0,0.0
148,2020-02-09,China,0.0,0.0
147,2020-02-09,Italy,3.0,0.0
146,2020-02-09,South Korea,25.0,0.0
145,2020-02-09,Mainland China,39790.0,904.0
144,2020-02-09,US,12.0,0.0
143,2020-02-08,Total,36817.0,804.0
142,2020-02-08,Republic of Korea,0.0,0.0
141,2020-02-08,"Korea, South",0.0,0.0
140,2020-02-08,China,0.0,0.0
139,2020-02-08,Italy,3.0,0.0
138,2020-02-08,South Korea,24.0,0.0
137,2020-02-08,Mainland China,36778.0,804.0
136,2020-02-08,US,12.0,0.0
135,2020-02-07,Total,34114.0,717.0
134,2020-02-07,Republic of Korea,0.0,0.0
133,2020-02-07,"Korea, South",0.0,0.0
132,2020-02-07,China,0.0,0.0
131,2020-02-07,Italy,3.0,0.0
130,2020-02-07,South Korea,24.0,0.0
129,2020-02-07,Mainland China,34075.0,717.0
128,2020-02-07,US,12.0,0.0
127,2020-02-06,Total,30590.0,632.0
126,2020-02-06,Republic of Korea,0.0,0.0
125,2020-02-06,"Korea, South",0.0,0.0
124,2020-02-06,China,0.0,0.0
123,2020-02-06,Italy,2.0,0.0
122,2020-02-06,South Korea,23.0,0.0
121,2020-02-06,Mainland China,30553.0,632.0
120,2020-02-06,US,12.0,0.0
119,2020-02-05,Total,27442.0,562.0
118,2020-02-05,Republic of Korea,0.0,0.0
117,2020-02-05,"Korea, South",0.0,0.0
116,2020-02-05,China,0.0,0.0
115,2020-02-05,Italy,2.0,0.0
114,2020-02-05,South Korea,19.0,0.0
113,2020-02-05,Mainland China,27409.0,562.0
112,2020-02-05,US,12.0,0.0
111,2020-02-04,Total,23709.0,490.0
110,2020-02-04,Republic of Korea,0.0,0.0
109,2020-02-04,"Korea, South",0.0,0.0
108,2020-02-04,China,0.0,0.0
107,2020-02-04,Italy,2.0,0.0
106,2020-02-04,South Korea,16.0,0.0
105,2020-02-04,Mainland China,23680.0,490.0
104,2020-02-04,US,11.0,0.0
103,2020-02-03,Total,19721.0,425.0
102,2020-02-03,Republic of Korea,0.0,0.0
101,2020-02-03,"Korea, South",0.0,0.0
100,2020-02-03,China,0.0,0.0
99,2020-02-03,Italy,2.0,0.0
98,2020-02-03,South Korea,15.0,0.0
97,2020-02-03,Mainland China,19693.0,425.0
96,2020-02-03,US,11.0,0.0
95,2020-02-02,Total,16632.0,361.0
94,2020-02-02,Republic of Korea,0.0,0.0
93,2020-02-02,"Korea, South",0.0,0.0
92,2020-02-02,China,0.0,0.0
91,2020-02-02,Italy,2.0,0.0
90,2020-02-02,South Korea,15.0,0.0
89,2020-02-02,Mainland China,16607.0,361.0
88,2020-02-02,US,8.0,0.0
87,2020-02-01,Total,11893.0,259.0
86,2020-02-01,Republic of Korea,0.0,0.0
85,2020-02-01,"Korea, South",0.0,0.0
84,2020-02-01,China,0.0,0.0
83,2020-02-01,Italy,2.0,0.0
82,2020-02-01,South Korea,12.0,0.0
81,2020-02-01,Mainland China,11871.0,259.0
80,2020-02-01,US,8.0,0.0
79,2020-01-31,Total,9802.0,213.0
78,2020-01-31,Republic of Korea,0.0,0.0
77,2020-01-31,"Korea, South",0.0,0.0
76,2020-01-31,China,0.0,0.0
75,2020-01-31,Italy,2.0,0.0
74,2020-01-31,South Korea,11.0,0.0
73,2020-01-31,Mainland China,9783.0,213.0
72,2020-01-31,US,6.0,0.0
71,2020-01-30,Total,8133.0,171.0
70,2020-01-30,Republic of Korea,0.0,0.0
69,2020-01-30,"Korea, South",0.0,0.0
68,2020-01-30,China,0.0,0.0
67,2020-01-30,Italy,0.0,0.0
66,2020-01-30,South Korea,4.0,0.0
65,2020-01-30,Mainland China,8124.0,171.0
64,2020-01-30,US,5.0,0.0
63,2020-01-29,Total,6079.0,133.0
62,2020-01-29,Republic of Korea,0.0,0.0
61,2020-01-29,"Korea, South",0.0,0.0
60,2020-01-29,China,0.0,0.0
59,2020-01-29,Italy,0.0,0.0
58,2020-01-29,South Korea,4.0,0.0
57,2020-01-29,Mainland China,6070.0,133.0
56,2020-01-29,US,5.0,0.0
55,2020-01-28,Total,5503.0,131.0
54,2020-01-28,Republic of Korea,0.0,0.0
53,2020-01-28,"Korea, South",0.0,0.0
52,2020-01-28,China,0.0,0.0
51,2020-01-28,Italy,0.0,0.0
50,2020-01-28,South Korea,4.0,0.0
49,2020-01-28,Mainland China,5494.0,131.0
48,2020-01-28,US,5.0,0.0
47,2020-01-27,Total,2872.0,82.0
46,2020-01-27,Republic of Korea,0.0,0.0
45,2020-01-27,"Korea, South",0.0,0.0
44,2020-01-27,China,0.0,0.0
43,2020-01-27,Italy,0.0,0.0
42,2020-01-27,South Korea,4.0,0.0
41,2020-01-27,Mainland China,2863.0,82.0
40,2020-01-27,US,5.0,0.0
39,2020-01-26,Total,2070.0,56.0
38,2020-01-26,Republic of Korea,0.0,0.0
37,2020-01-26,"Korea, South",0.0,0.0
36,2020-01-26,China,0.0,0.0
35,2020-01-26,Italy,0.0,0.0
34,2020-01-26,South Korea,3.0,0.0
33,2020-01-26,Mainland China,2062.0,56.0
32,2020-01-26,US,5.0,0.0
31,2020-01-25,Total,1403.0,42.0
30,2020-01-25,Republic of Korea,0.0,0.0
29,2020-01-25,"Korea, South",0.0,0.0
28,2020-01-25,China,0.0,0.0
27,2020-01-25,Italy,0.0,0.0
26,2020-01-25,South Korea,2.0,0.0
25,2020-01-25,Mainland China,1399.0,42.0
24,2020-01-25,US,2.0,0.0
23,2020-01-24,Total,920.0,26.0
22,2020-01-24,Republic of Korea,0.0,0.0
21,2020-01-24,"Korea, South",0.0,0.0
20,2020-01-24,China,0.0,0.0
19,2020-01-24,Italy,0.0,0.0
18,2020-01-24,South Korea,2.0,0.0
17,2020-01-24,Mainland China,916.0,26.0
16,2020-01-24,US,2.0,0.0
15,2020-01-23,Total,641.0,18.0
14,2020-01-23,Republic of Korea,0.0,0.0
13,2020-01-23,"Korea, South",0.0,0.0
12,2020-01-23,China,0.0,0.0
11,2020-01-23,Italy,0.0,0.0
10,2020-01-23,South Korea,1.0,0.0
9,2020-01-23,Mainland China,639.0,18.0
8,2020-01-23,US,1.0,0.0
7,2020-01-22,Total,549.0,17.0
6,2020-01-22,Republic of Korea,0.0,0.0
5,2020-01-22,"Korea, South",0.0,0.0
4,2020-01-22,China,0.0,0.0
3,2020-01-22,Italy,0.0,0.0
2,2020-01-22,South Korea,1.0,0.0
1,2020-01-22,Mainland China,547.0,17.0
0,2020-01-22,US,1.0,0.0
